loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc
15000,15000,15000,36,16.14,528.4,C,C4,asst.mgr,3,RENT,60000
21000,21000,21000,60,15.02,499.81,C,C3,Police Captain,10,RENT,109000
25000,25000,25000,60,20.89,674.79,D,D4,Veterinary Assistant ,1,MORTGAGE,70000
1000,1000,975,36,8.19,31.43,A,A4,Project manager,10,MORTGAGE,78000
16000,16000,16000,60,20.89,431.87,D,D4,Regional Manager,10,RENT,200000
8500,8500,8500,36,16.91,302.67,C,C5,DIRECT CARE PROVIDER,7,MORTGAGE,70200
30000,30000,30000,36,22.35,1151.16,D,D5,Supervisor ,5,MORTGAGE,100000
3000,3000,3000,36,8.81,95.14,A,A5,,0,RENT,71250
16000,16000,16000,36,23.4,622.7,E,E1,account manager,10,MORTGAGE,140000
8000,8000,8000,36,12.98,269.48,B,B5,Controller,4,MORTGAGE,95000
30000,30000,30000,60,17.97,761.32,D,D1,senior buyer,10,MORTGAGE,65000
6000,6000,6000,36,14.47,206.44,C,C2,Manager,10,RENT,55000
5000,5000,5000,36,12.98,168.43,B,B5,Consultant,2,RENT,80000
10000,10000,10000,36,16.14,352.27,C,C4,,1,MORTGAGE,90000
20000,20000,20000,60,16.14,487.86,C,C4,Sales,10,MORTGAGE,30000
22650,22650,22650,36,10.72,738.54,B,B2,President,7,MORTGAGE,145000
10000,10000,10000,36,11.31,328.86,B,B3,Nurse technician,2,OWN,35000
24000,24000,24000,36,10.33,778.14,B,B1,Maintenance Manager,10,MORTGAGE,100000
4000,4000,4000,36,18.94,146.51,D,D2,Math Instructor,1,MORTGAGE,37000
30000,30000,30000,36,15.02,1040.26,C,C3,Firefighter ,10,RENT,90000
11000,11000,11000,36,16.14,387.49,C,C4,Senior Area Sales Manager,3,MORTGAGE,240000
24000,24000,24000,60,13.56,552.98,C,C1,Director of reinsurance ,10,MORTGAGE,125000
18000,18000,18000,60,10.72,388.86,B,B2,Office Manager,10,MORTGAGE,32000
18000,18000,18000,36,8.81,570.81,A,A5,Sever,1,RENT,40000
5525,5525,5525,36,15.02,191.59,C,C3,Vice President,10,RENT,118000
2525,2525,2525,36,16.91,89.92,C,C5,Tech Driver,1,RENT,21000
32000,32000,32000,60,14.47,752.41,C,C2,Teacher,10,MORTGAGE,110000
16000,16000,16000,36,25.34,639.04,E,E3,Operations Manager,2,RENT,52000
16000,16000,16000,36,14.47,550.51,C,C2,,1,RENT,200000
18500,18500,18500,60,12.98,420.75,B,B5,Supply Chain Analyst,5,RENT,96500
3000,3000,2975,36,10.72,97.82,B,B2,,0,MORTGAGE,30000
23000,23000,23000,60,19.92,608.34,D,D3,,0,OWN,75000
1500,1500,1500,36,17.97,54.21,D,D1,Product Line Specilalist ,10,MORTGAGE,56160
24000,24000,24000,60,12.98,545.83,B,B5,Medical Doctor,10,MORTGAGE,380000
5000,5000,5000,36,16.14,176.14,C,C4,Enrollment Services Advisor,3,RENT,50000
25000,25000,25000,36,10.33,810.56,B,B1,Army,10,MORTGAGE,80000
2500,2500,2500,36,20.89,94.05,D,D4,Room Attendant,3,RENT,29000
12000,12000,12000,60,14.47,282.16,C,C2,MAINTENANCE ,10,RENT,62000
9600,9600,9600,36,23.4,373.62,E,E1,Sales VP,3,RENT,100000
10000,10000,10000,36,11.31,328.86,B,B3,,0,MORTGAGE,10020
7000,7000,7000,36,15.02,242.73,C,C3,General Manager ,7,MORTGAGE,52000
8000,8000,8000,36,23.4,311.35,E,E1,Medical Coder,1,RENT,49400
5000,5000,5000,36,16.14,176.14,C,C4,Plant Logistics Manager,1,MORTGAGE,115000
10000,10000,10000,36,10.33,324.23,B,B1,,1,MORTGAGE,280000
8000,8000,8000,36,10.33,259.38,B,B1,Optician,6,MORTGAGE,38000
4000,4000,4000,36,18.94,146.51,D,D2,,0,RENT,19000
24000,24000,24000,60,11.31,525.54,B,B3,Bill Collector,1,MORTGAGE,72000
25000,25000,25000,60,16.14,609.82,C,C4,Production Manager,5,MORTGAGE,45000
3000,3000,3000,36,17.97,108.42,D,D1,Cna,7,MORTGAGE,33000
35000,35000,35000,60,18.94,906.77,D,D2,Financial Advisor,10,RENT,90000
8800,8800,8800,36,16.91,313.35,C,C5,,1,MORTGAGE,21000
10500,10500,10500,60,11.8,232.51,B,B4,,0,OWN,36000
25000,25000,25000,60,14.47,587.82,C,C2,City Crrier,3,MORTGAGE,65000
5500,5500,5500,36,11.31,180.88,B,B3,Engineer,5,MORTGAGE,98000
12000,12000,12000,60,14.47,282.16,C,C2,Reimbursement specialist ,6,MORTGAGE,39000
8500,8500,8500,36,16.14,299.43,C,C4,Asst. Manager,8,MORTGAGE,80000
35000,35000,35000,60,20.89,944.71,D,D4,Instructor for Training Squadron,10,RENT,80000
8250,8250,8250,36,17.97,298.14,D,D1,Driver ,10,MORTGAGE,68000
40000,40000,40000,60,16.14,975.71,C,C4,Assistant to the Treasurer (Payroll),1,MORTGAGE,45000
20000,20000,20000,36,10.33,648.45,B,B1,UPS/Shipping,10,MORTGAGE,60000
18000,18000,18000,36,8.81,570.81,A,A5,Attorney-Adviser,3,RENT,100203
11000,11000,11000,36,14.47,378.47,C,C2,Teacher,10,MORTGAGE,89000
12000,12000,12000,36,16.14,422.72,C,C4,Sales Account Manager,4,RENT,70000
15000,15000,15000,60,13.56,345.62,C,C1,,1,RENT,72000
4000,4000,4000,36,16.91,142.44,C,C5,Vacation Advisor,5,RENT,54000
32000,32000,32000,60,12.98,727.78,B,B5,Manager,4,MORTGAGE,70000
15000,15000,15000,60,14.47,352.69,C,C2,Operation s director,10,MORTGAGE,120000
18000,18000,18000,60,14.47,423.23,C,C2,Machinst/Programer,7,MORTGAGE,60000
13000,13000,13000,36,17.97,469.79,D,D1,Help Tech Supervisor,10,MORTGAGE,92360
10000,10000,10000,36,16.14,352.27,C,C4,Operations Coordinator ,1,MORTGAGE,63000
3600,3600,3600,36,11.8,119.23,B,B4,Analyst,5,MORTGAGE,50000
22000,22000,22000,60,11.8,487.16,B,B4,Corporate Communications Strategist,10,MORTGAGE,155000
10450,10450,10450,36,18.94,382.74,D,D2,Project Manager,10,MORTGAGE,70000
10000,10000,10000,36,11.8,331.19,B,B4,Service tech.,9,RENT,100000
10000,10000,10000,36,18.94,366.26,D,D2,Especialist 1,7,MORTGAGE,37115
5000,5000,5000,36,11.31,164.43,B,B3,Shipping,2,RENT,40000
20000,20000,20000,36,7.56,622.68,A,A3,Teacher,10,MORTGAGE,100000
17100,17100,17100,36,18.94,626.3,D,D2,Receptionist ,10,RENT,38000
10475,10475,10475,36,11.31,344.48,B,B3,Teacher,6,RENT,66150
10000,10000,10000,60,23.4,284.21,E,E1,,1,RENT,55000
7500,7500,7500,36,11.31,246.65,B,B3,Supervisor,7,MORTGAGE,40500
4000,4000,4000,36,10.72,130.43,B,B2,Extrusion assistant ,10,MORTGAGE,56000
15400,15400,15400,60,14.47,362.1,C,C2,DISTRICT SALES MANAGER,3,MORTGAGE,110000
35000,35000,35000,36,14.47,1204.23,C,C2,Staff Physician,8,MORTGAGE,360000
30000,30000,30000,60,27.27,920.91,E,E5,Claims Analyst,1,RENT,50000
16800,16800,16800,60,17.97,426.34,D,D1,procurement supervisor,10,RENT,75000
25000,25000,25000,60,15.02,595.02,C,C3,radiologic technologist,10,MORTGAGE,75000
10000,10000,10000,36,16.14,352.27,C,C4,Training Manager,10,MORTGAGE,94800
20000,20000,20000,60,12.98,454.86,B,B5,RN ,1,MORTGAGE,70000
35000,35000,35000,60,15.02,833.02,C,C3,elementary school teacher,10,MORTGAGE,106095
4000,4000,4000,36,18.94,146.51,D,D2,supervisor,10,OWN,80000
10000,10000,10000,60,16.14,243.93,C,C4,Sale Consultant,2,RENT,90000
4500,4500,4500,36,11.31,147.99,B,B3,Accounts Examiner III,10,RENT,38500
14000,14000,14000,60,26.31,421.74,E,E4,,0,RENT,55000
6500,6500,6500,36,11.8,215.28,B,B4,Educator ,2,RENT,46500
29625,29625,29625,60,15.02,705.09,C,C3,,1,OWN,48000
16000,16000,16000,60,27.27,491.16,E,E5,General Manager,7,OWN,88000
12000,12000,12000,60,14.47,282.16,C,C2,Assistant Athletic Director of Marketing,1,RENT,67000
35000,35000,35000,60,15.02,833.02,C,C3,Sr Sales Manager,10,MORTGAGE,290000
30000,30000,30000,60,26.31,903.73,E,E4,Casino Host,10,OWN,62000
16000,16000,16000,36,14.47,550.51,C,C2,Carpenter,10,RENT,150000
24000,24000,24000,36,15.02,832.21,C,C3,MAINTENANCE PLANNER ,3,OWN,105000
14000,14000,14000,36,16.14,493.17,C,C4,,0,MORTGAGE,77479
40000,40000,40000,60,11.31,875.9,B,B3,,1,MORTGAGE,136000
24000,24000,24000,60,27.27,736.73,E,E5,Firefighter/captain,10,MORTGAGE,140000
28000,28000,28000,36,11.31,920.81,B,B3,Executive Administrative Assistant,5,RENT,82000
7075,7075,7075,36,23.4,275.35,E,E1,,0,RENT,19200
1000,1000,1000,36,23.4,38.92,E,E1,,0,RENT,29000
5400,5400,5400,36,14.47,185.8,C,C2,Shift Supervisor,2,MORTGAGE,25000
10000,10000,10000,36,19.92,371.23,D,D3,,0,OWN,17440
10000,10000,10000,36,14.47,344.07,C,C2,Workforce Analyst,7,RENT,90000
25000,25000,25000,36,16.91,890.2,C,C5,Captain,3,RENT,67000
6000,6000,6000,36,6.46,183.79,A,A1,Senior manager,3,RENT,27000
7000,7000,7000,36,10.33,226.96,B,B1,Reference/YA Librarian,3,RENT,45581
30000,30000,30000,60,12.98,682.29,B,B5,Senior Software Engineer,2,MORTGAGE,113000
5000,5000,5000,36,16.14,176.14,C,C4,Software Consultant,6,RENT,110000
15000,15000,15000,36,15.02,520.13,C,C3,Financial Planner,10,MORTGAGE,175000
15000,15000,15000,60,13.56,345.62,C,C1,"Manager, Patient Finance",4,MORTGAGE,75000
20000,20000,20000,36,14.47,688.13,C,C2,bus driver,4,OWN,52000
20400,20400,20400,60,10.33,436.76,B,B1,Bakery Manager,10,MORTGAGE,140000
20000,20000,20000,60,12.98,454.86,B,B5,Esthetician ,1,RENT,40000
8425,8425,8425,36,27.27,345.18,E,E5,Senior Director Risk Management,3,MORTGAGE,450000
21000,21000,21000,36,16.91,747.77,C,C5,,1,OWN,68000
10000,10000,10000,36,14.47,344.07,C,C2,Software Engineer,8,MORTGAGE,143000
15000,15000,15000,36,15.02,520.13,C,C3,,0,MORTGAGE,42000
24000,24000,24000,60,13.56,552.98,C,C1,Manager,10,MORTGAGE,75000
15000,15000,15000,60,14.47,352.69,C,C2,"VP, Solutions Management",9,RENT,280000
5000,5000,5000,36,10.72,163.04,B,B2,Teacher,5,OWN,72000
30000,30000,30000,60,20.89,809.75,D,D4,PRIVATE CLIENT BANKER,2,RENT,120000
35000,35000,35000,60,19.92,925.73,D,D3,OPERATOR,10,MORTGAGE,68000
3000,3000,3000,36,10.33,97.27,B,B1,Driver,7,RENT,40000
1000,1000,975,36,6.46,30.64,A,A1,Service Consultant ,3,MORTGAGE,49989
10000,10000,10000,60,14.47,235.13,C,C2,Teacher,5,RENT,66931
5000,5000,5000,36,11.31,164.43,B,B3,,0,RENT,13000
16500,16500,16500,60,17.97,418.73,D,D1,case manager ,5,MORTGAGE,37000
6000,6000,6000,36,15.02,208.06,C,C3,Shift Supervisor,5,MORTGAGE,30000
35000,35000,35000,60,12.98,796,B,B5,Sr. Vice President -Risk Manager,7,MORTGAGE,211646
34575,34575,34575,60,17.97,877.42,D,D1,Compliance manager,5,MORTGAGE,130000
1200,1200,1200,36,17.97,43.37,D,D1,Haz Mat S/R,10,OWN,52000
9600,9600,9600,36,12.98,323.37,B,B5,,0,MORTGAGE,35704
4800,4800,4800,36,16.91,170.92,C,C5,Server,9,RENT,38500
5000,5000,5000,36,22.35,191.86,D,D5,Director of Sales,10,MORTGAGE,72000
10000,10000,10000,60,12.98,227.43,B,B5,Printer,9,RENT,60000
7500,7500,7500,36,10.72,244.55,B,B2,Program Manager,2,RENT,84000
16000,16000,16000,60,17.97,406.04,D,D1,Surgery scheduler,2,RENT,35000
7200,7200,7200,36,23.4,280.22,E,E1,Mail Processing Clerk ,2,RENT,56000
27975,27975,27975,36,14.47,962.52,C,C2,Conductor ,10,MORTGAGE,180000
16000,16000,16000,60,13.56,368.66,C,C1,LMSW,10,RENT,46000
15000,15000,15000,36,10.72,489.1,B,B2,Attorney,3,MORTGAGE,150000
9000,9000,9000,36,11.8,298.07,B,B4,Teacher,10,MORTGAGE,85000
1000,1000,1000,36,18.94,36.63,D,D2,Lpn,3,MORTGAGE,57000
28000,28000,28000,60,13.56,645.15,C,C1,Project Manager,10,MORTGAGE,128500
10000,10000,10000,36,11.31,328.86,B,B3,Medical Technologist,3,RENT,67427
25000,25000,25000,60,14.47,587.82,C,C2,teacher,10,OWN,110000
23000,23000,23000,36,11.31,756.38,B,B3,Sr. CAE Analyst,3,MORTGAGE,145000
25000,25000,25000,60,12.98,568.58,B,B5,Tire builder,10,MORTGAGE,85000
15000,15000,15000,36,8.19,471.37,A,A4,IT Manager,10,MORTGAGE,92584
35000,35000,35000,60,18.94,906.77,D,D2,administrative clerk,10,RENT,90000
5000,5000,4975,36,7.02,154.44,A,A2,E-commerce associate,4,RENT,26976
35000,35000,35000,36,8.19,1099.85,A,A4,"Director, Analytics",10,MORTGAGE,325000
30000,30000,30000,36,16.91,1068.24,C,C5,Mechanic,10,RENT,85000
6600,6600,6600,36,8.19,207.4,A,A4,,0,MORTGAGE,95000
20300,20300,20300,60,10.33,434.62,B,B1,Service Advisor,2,MORTGAGE,185000
4000,4000,4000,36,18.94,146.51,D,D2,LEA Technician,1,RENT,57600
10000,10000,10000,36,7.56,311.34,A,A3,office work,10,OWN,44000
21000,21000,21000,60,22.35,584.19,D,D5,UC Engineer,3,MORTGAGE,99000
10000,10000,10000,36,11.8,331.19,B,B4,Carpenter ,7,MORTGAGE,80000
3000,3000,2975,36,8.19,94.28,A,A4,Marketing director,10,MORTGAGE,100000
8000,8000,8000,36,12.98,269.48,B,B5,autopsy technician,3,MORTGAGE,52000
1000,1000,1000,36,23.4,38.92,E,E1,Deputy City Clerk,4,RENT,35000
5100,5100,5100,36,7.02,157.52,A,A2,Administration Security,10,MORTGAGE,76000
4000,4000,4000,36,16.14,140.91,C,C4,Teacher,10,MORTGAGE,64000
35000,35000,35000,60,17.97,888.2,D,D1,Project Manager,3,MORTGAGE,72000
4000,4000,4000,36,7.02,123.55,A,A2,Lead Pastor,10,OWN,60000
10000,10000,10000,36,8.81,317.12,A,A5,Supervisor,10,RENT,95000
20000,20000,20000,60,17.97,507.55,D,D1,Front office Lead,4,RENT,57000
22000,22000,22000,60,12.98,500.35,B,B5,Registered Nurse,10,MORTGAGE,152000
6600,6600,6325,36,11.31,217.05,B,B3,Sewell collision center,10,RENT,45000
3000,3000,3000,36,15.02,104.03,C,C3,Manager,5,MORTGAGE,95000
35000,35000,35000,60,22.35,973.64,D,D5,ICD Audit and Operations Officer,10,RENT,213000
5000,5000,5000,36,19.92,185.62,D,D3,Police Officer ,1,RENT,38200
6025,6025,6025,36,14.47,207.3,C,C2,Clerk,4,RENT,16800
21600,21600,21600,36,8.19,678.77,A,A4,Streets Engineering Tech,10,MORTGAGE,84200
7000,7000,7000,36,20.89,263.34,D,D4,,0,MORTGAGE,65000
10000,10000,10000,36,10.33,324.23,B,B1,IT Compliance Analyst,2,RENT,96000
18000,18000,18000,36,14.47,619.32,C,C2,sales,10,MORTGAGE,63000
15000,15000,15000,60,18.94,388.62,D,D2,Teacher,10,MORTGAGE,165000
7000,7000,7000,36,12.98,235.8,B,B5,HR Assistant,2,MORTGAGE,51000
4500,4500,4500,36,10.33,145.91,B,B1,CPA,6,RENT,72000
5000,5000,5000,36,6.46,153.16,A,A1,Director of Rehabilitation ,1,MORTGAGE,120000
10000,10000,10000,36,8.81,317.12,A,A5,Research Team Manager,6,RENT,62000
6000,6000,5975,36,7.02,185.32,A,A2,Mutual Funds Administrator,8,MORTGAGE,65000
16000,16000,16000,36,8.81,507.39,A,A5,Engineer,5,MORTGAGE,94000
4500,4500,4500,36,11.8,149.04,B,B4,IT Specialist,10,MORTGAGE,98650
5000,5000,5000,36,18.94,183.13,D,D2,Autism para,6,MORTGAGE,60000
10000,10000,10000,36,10.72,326.07,B,B2,Registered Nurse,3,MORTGAGE,150000
17425,17425,17425,36,20.89,655.51,D,D4,Controller,10,RENT,109000
10000,10000,10000,36,14.47,344.07,C,C2,,1,OWN,60000
2000,2000,2000,36,16.91,71.22,C,C5,Event Manager ,4,MORTGAGE,71000
5000,5000,5000,36,10.72,163.04,B,B2,GM,10,RENT,72000
1300,1300,1300,36,7.56,40.48,A,A3,Language Director,2,MORTGAGE,80000
20000,20000,20000,60,15.02,476.01,C,C3,Financial Center Manager ,6,RENT,80000
2500,2500,2475,36,13.56,84.92,C,C1,Manager,5,RENT,42000
5000,5000,5000,36,10.72,163.04,B,B2,sheet metal worker,10,RENT,50000
6000,6000,6000,36,8.19,188.55,A,A4,Collector,6,RENT,39000
36000,36000,36000,60,11.8,797.17,B,B4,Teacher,10,MORTGAGE,90000
16000,16000,16000,36,10.33,518.76,B,B1,Translator/linguistic ,4,MORTGAGE,65000
16000,16000,16000,60,22.35,445.1,D,D5,Teacher,5,MORTGAGE,138300
8000,8000,8000,36,11.31,263.09,B,B3,Service Tech,4,MORTGAGE,60000
2200,2200,2200,36,19.92,81.68,D,D3,Teller ,1,OWN,30000
7000,7000,7000,36,13.56,237.76,C,C1,Personal Trainer,1,RENT,30000
10000,10000,10000,36,10.33,324.23,B,B1,Sonographer ,1,MORTGAGE,65000
14000,14000,14000,36,14.47,481.69,C,C2,Rad tech,10,MORTGAGE,36000
10000,10000,10000,36,13.56,339.65,C,C1,Operations Manager,4,MORTGAGE,125000
8000,8000,8000,36,8.81,253.7,A,A5,Bartender,3,MORTGAGE,55000
8000,8000,8000,36,8.19,251.4,A,A4,Management,10,MORTGAGE,100000
30000,30000,30000,36,7.56,934.02,A,A3,Licensed Clinical Psychologist,7,MORTGAGE,155000
15000,15000,15000,36,16.14,528.4,C,C4,,1,OWN,100000
16000,16000,16000,60,14.47,376.21,C,C2,Executive Chef,9,MORTGAGE,78000
32500,32500,32500,60,8.19,661.95,A,A4,signal testman,10,MORTGAGE,94000
8400,8400,8400,36,16.14,295.9,C,C4,Fsr,1,MORTGAGE,50000
20000,20000,20000,60,18.94,518.16,D,D2,Software Developer,2,MORTGAGE,68000
23000,23000,23000,60,14.47,540.8,C,C2,Assistant Manager to Production,3,RENT,33000
4800,4800,4800,36,10.33,155.63,B,B1,Supervisor,5,OWN,80000
40000,40000,40000,60,8.19,814.7,A,A4,SERVICE ADVISOR,10,MORTGAGE,99000
3600,3600,3600,36,10.33,116.73,B,B1,Independent Provider,1,RENT,26000
36950,36950,36950,60,11.8,818.21,B,B4,Director of Infrastructure Engineering,1,RENT,284000
15000,15000,15000,36,7.02,463.3,A,A2,Teacher,9,MORTGAGE,80000
16800,16800,16800,60,11.8,372.02,B,B4,Drafter,7,MORTGAGE,56000
13000,13000,13000,36,7.02,401.53,A,A2,Kitchen Worker,8,OWN,35000
31200,31200,31200,60,11.8,690.88,B,B4,Sales ,10,MORTGAGE,105000
25000,25000,25000,60,16.91,620.11,C,C5,HR SPECIALIST,10,MORTGAGE,130000
30800,30800,30800,36,11.31,1012.89,B,B3,Library Information Specialist,10,MORTGAGE,105000
16000,16000,16000,36,6.46,490.1,A,A1,software developer,2,RENT,80000
3600,3600,3600,36,14.47,123.87,C,C2,Office Administrator,2,MORTGAGE,52000
30000,30000,30000,36,7.02,926.59,A,A2,Registered Nurse,4,MORTGAGE,92000
1000,1000,1000,36,23.4,38.92,E,E1,Patient care technician,4,MORTGAGE,39000
